language,hpc_cluster,grid_size,n_workers,core_secs
julia,cosmos,16384,3,1.785
julia,cosmos,16384,32,6.144
julia,cosmos,16384,33,4.653
julia,cosmos,16384,34,5.338
julia,cosmos,16384,35,5.39
julia,cosmos,16384,36,4.68
julia,cosmos,16384,37,6.622999999999999
julia,cosmos,16384,38,9.272
julia,cosmos,16384,39,4.797
julia,cosmos,16384,40,6.36
julia,cosmos,16384,41,5.166
julia,cosmos,16384,42,6.888
julia,cosmos,16384,43,10.104999999999999
julia,cosmos,16384,4,3.66
julia,cosmos,16384,44,8.58
julia,cosmos,16384,45,6.5249999999999995
julia,cosmos,16384,46,7.774000000000001
julia,cosmos,16384,47,5.4990000000000006
julia,cosmos,16384,48,8.448
julia,cosmos,16384,5,1.96
julia,cosmos,16384,6,2.04
julia,cosmos,16384,7,2.212
julia,cosmos,16384,8,2.312
julia,cosmos,16384,9,2.322


matlab,cosmos,16384,11,783.4605
matlab,cosmos,16384,13,831.5194
matlab,cosmos,16384,14,1085.6484
matlab,cosmos,16384,15,1465.4468
matlab,cosmos,16384,16,1115.5208
matlab,cosmos,16384,17,1209.538
matlab,cosmos,16384,18,1232.2422
matlab,cosmos,16384,19,1302.4795
matlab,cosmos,16384,21,1886.0932
matlab,cosmos,16384,2,141.5613
matlab,cosmos,16384,22,4402.5386
matlab,cosmos,16384,23,4538.506
matlab,cosmos,16384,24,4702.2691
matlab,cosmos,16384,25,3166.601
matlab,cosmos,16384,26,5201.0547
matlab,cosmos,16384,27,3765.5309
matlab,cosmos,16384,28,3948.604
matlab,cosmos,16384,29,4200.595
matlab,cosmos,16384,30,4409.9673
matlab,cosmos,16384,31,4692.5875
matlab,cosmos,16384,32,4954.6547
matlab,cosmos,16384,33,5216.8216
matlab,cosmos,16384,34,5502.7409
matlab,cosmos,16384,35,5715.8592
matlab,cosmos,16384,36,6141.2582
matlab,cosmos,16384,37,6288.4946
matlab,cosmos,16384,38,6686.2051
matlab,cosmos,16384,39,6883.4303
matlab,cosmos,16384,40,7087.7738
matlab,cosmos,16384,41,7499.4485
matlab,cosmos,16384,42,7768.1723
matlab,cosmos,16384,43,8022.9216
matlab,cosmos,16384,44,8450.4031
matlab,cosmos,16384,45,8737.4344
matlab,cosmos,16384,46,8874.3441
matlab,cosmos,16384,47,9477.1716
matlab,cosmos,16384,48,9517.5297
matlab,cosmos,16384,5,292.005
matlab,cosmos,16384,6,383.911
matlab,cosmos,16384,8,509.44
matlab,cosmos,16384,9,613.9021

julia,cosmos,16384,10,2.4
julia,cosmos,16384,11,2.552
julia,cosmos,16384,1,1.649
julia,cosmos,16384,12,2.592
julia,cosmos,16384,13,3.952
julia,cosmos,16384,14,2.842
julia,cosmos,16384,15,2.835
julia,cosmos,16384,16,2.96
julia,cosmos,16384,17,2.9579999999999997
julia,cosmos,16384,18,3.222
julia,cosmos,16384,19,3.059
julia,cosmos,16384,20,3.12
julia,cosmos,16384,21,3.4650000000000003
julia,cosmos,16384,2,1.728
julia,cosmos,16384,22,3.5860000000000003
julia,cosmos,16384,23,4.301
julia,cosmos,16384,24,5.04
julia,cosmos,16384,25,4.3999999999999995
julia,cosmos,16384,26,4.368
julia,cosmos,16384,27,6.075
julia,cosmos,16384,28,6.692
julia,cosmos,16384,29,4.843
julia,cosmos,16384,30,5.010000000000001
julia,cosmos,16384,31,7.781
julia,cosmos,16384,3,2.286
julia,cosmos,16384,32,5.984
julia,cosmos,16384,33,6.798
julia,cosmos,16384,34,8.908000000000001
julia,cosmos,16384,35,5.8100000000000005
julia,cosmos,16384,36,6.876
julia,cosmos,16384,37,6.179
julia,cosmos,16384,38,8.322
julia,cosmos,16384,39,5.07
julia,cosmos,16384,40,9.360000000000001
julia,cosmos,16384,41,6.437
julia,cosmos,16384,4,1.88
julia,cosmos,16384,42,6.930000000000001
julia,cosmos,16384,43,6.45
julia,cosmos,16384,44,6.4239999999999995
julia,cosmos,16384,45,5.3549999999999995
julia,cosmos,16384,46,5.428
julia,cosmos,16384,47,6.11
julia,cosmos,16384,48,6.384
julia,cosmos,16384,5,2.09
julia,cosmos,16384,6,2.064
julia,cosmos,16384,7,2.884
julia,cosmos,16384,8,2.288
julia,cosmos,16384,9,3.195
matlab,cosmos,16384,10,1760.7712
matlab,cosmos,16384,11,1962.5532
matlab,cosmos,16384,1,174.7381
matlab,cosmos,16384,12,1980.1684
matlab,cosmos,16384,13,2331.6317
matlab,cosmos,16384,14,1926.1907
matlab,cosmos,16384,15,2462.7334
matlab,cosmos,16384,16,2206.1666
matlab,cosmos,16384,17,2768.1934
matlab,cosmos,16384,18,3170.5111
matlab,cosmos,16384,19,3016.7883
matlab,cosmos,16384,20,3375.1393
matlab,cosmos,16384,21,2381.0892
matlab,cosmos,16384,22,3917.8664
matlab,cosmos,16384,2,255.1855
matlab,cosmos,16384,23,2969.3914
matlab,cosmos,16384,24,3016.2886
matlab,cosmos,16384,25,2026.5834
matlab,cosmos,16384,26,2065.6338
matlab,cosmos,16384,27,2186.3969
matlab,cosmos,16384,28,2242.4392
matlab,cosmos,16384,29,5265.8327
matlab,cosmos,16384,30,2466.6634
matlab,cosmos,16384,31,4390.0597
matlab,cosmos,16384,32,2596.5079
matlab,cosmos,16384,33,2746.2117
matlab,cosmos,16384,34,5367.8113
matlab,cosmos,16384,3,521.4943
matlab,cosmos,16384,35,5716.2812
matlab,cosmos,16384,36,3294.4868
matlab,cosmos,16384,37,6259.7855
matlab,cosmos,16384,38,6411.9201
matlab,cosmos,16384,39,6528.073
matlab,cosmos,16384,40,7143.0862
matlab,cosmos,16384,41,7231.7556
matlab,cosmos,16384,42,7472.2783
matlab,cosmos,16384,43,7903.269
matlab,cosmos,16384,44,8124.88
matlab,cosmos,16384,45,8651.3493
matlab,cosmos,16384,4,660.8307
matlab,cosmos,16384,46,8618.0459
matlab,cosmos,16384,47,8907.5516
matlab,cosmos,16384,48,9111.6228
matlab,cosmos,16384,5,827.6779
matlab,cosmos,16384,6,1000.3844
matlab,cosmos,16384,7,1236.8166
matlab,cosmos,16384,8,1327.0161
matlab,cosmos,16384,9,1612.3651
r,cosmos,16384,10,166.177296638489
r,cosmos,16384,11,158.450239658356
r,cosmos,16384,1,141.203993797302
r,cosmos,16384,12,159.481650352478
r,cosmos,16384,13,179.614989042282
r,cosmos,16384,14,164.222860813141
r,cosmos,16384,15,162.801479101181
