language,hpc_cluster,grid_size,n_workers,core_secs
matlab,kebnekaise,16384,10,472.9692
matlab,kebnekaise,16384,11,484.9252
matlab,kebnekaise,16384,12,551.3608
matlab,kebnekaise,16384,13,718.7806
matlab,kebnekaise,16384,1,47.466
matlab,kebnekaise,16384,14,759.6878
matlab,kebnekaise,16384,15,1074.6219
matlab,kebnekaise,16384,16,843.639
matlab,kebnekaise,16384,17,1179.1713
matlab,kebnekaise,16384,18,1105.2956
matlab,kebnekaise,16384,19,1580.2368
matlab,kebnekaise,16384,20,1378.9883
matlab,kebnekaise,16384,21,1621.0634
matlab,kebnekaise,16384,22,3722.7659
matlab,kebnekaise,16384,23,3891.8695
matlab,kebnekaise,16384,24,4061.8622
matlab,kebnekaise,16384,25,4233.559
matlab,kebnekaise,16384,2,88.4605
matlab,kebnekaise,16384,3,130.9401
matlab,kebnekaise,16384,4,191.8754
matlab,kebnekaise,16384,5,237.7451
matlab,kebnekaise,16384,6,266.0343
matlab,kebnekaise,16384,7,312.8472
matlab,kebnekaise,16384,8,342.9117
matlab,kebnekaise,16384,9,405.822














julia,kebnekaise,16384,10,4.5200000000000005
julia,kebnekaise,16384,11,4.543
julia,kebnekaise,16384,12,4.800000000000001
julia,kebnekaise,16384,1,3.43
julia,kebnekaise,16384,13,4.81
julia,kebnekaise,16384,14,4.928
julia,kebnekaise,16384,15,5.025
julia,kebnekaise,16384,16,5.12
julia,kebnekaise,16384,17,5.287
julia,kebnekaise,16384,18,5.364
julia,kebnekaise,16384,19,5.833
julia,kebnekaise,16384,20,6.18
julia,kebnekaise,16384,21,5.67
julia,kebnekaise,16384,22,6.468
julia,kebnekaise,16384,2,3.512
julia,kebnekaise,16384,23,9.66
julia,kebnekaise,16384,24,7.103999999999999
julia,kebnekaise,16384,25,7.625
julia,kebnekaise,16384,26,6.162
julia,kebnekaise,16384,27,6.372
julia,kebnekaise,16384,28,6.859999999999999
julia,kebnekaise,16384,3,3.63
julia,kebnekaise,16384,4,3.78
julia,kebnekaise,16384,5,3.855
julia,kebnekaise,16384,6,4.008
julia,kebnekaise,16384,7,4.074
julia,kebnekaise,16384,8,4.176
julia,kebnekaise,16384,9,4.2749999999999995
r,kebnekaise,16384,10,174.181475639343
r,kebnekaise,16384,11,173.938370704651
r,kebnekaise,16384,1,178.321243286133
r,kebnekaise,16384,12,174.842794418335
r,kebnekaise,16384,13,265.930964231491
r,kebnekaise,16384,14,227.408502578735
r,kebnekaise,16384,15,349.759590625763
r,kebnekaise,16384,16,287.978496551514
r,kebnekaise,16384,17,326.238832712173
r,kebnekaise,16384,18,239.436683177948
r,kebnekaise,16384,19,311.937592029572
r,kebnekaise,16384,20,241.885995864868
r,kebnekaise,16384,21,242.276743412018
r,kebnekaise,16384,2,190.633398532867
r,kebnekaise,16384,22,278.773696899414
r,kebnekaise,16384,23,242.910685062408
r,kebnekaise,16384,24,312.185577392578
r,kebnekaise,16384,25,185.383051633835
r,kebnekaise,16384,26,244.655210494995
r,kebnekaise,16384,27,245.384717702866
r,kebnekaise,16384,28,247.961870193481
r,kebnekaise,16384,3,188.778748512268
r,kebnekaise,16384,4,195.447286605835
r,kebnekaise,16384,5,196.700694561005
r,kebnekaise,16384,6,173.606174468994
r,kebnekaise,16384,7,175.113130092621
r,kebnekaise,16384,8,179.417451858521
r,kebnekaise,16384,9,174.515157222748
