language,hpc_cluster,grid_size,n_workers,core_secs
julia,pelle,16384,3,6.999
julia,pelle,16384,37,67.081
julia,pelle,16384,38,69.122
julia,pelle,16384,39,73.164
julia,pelle,16384,40,71.68
julia,pelle,16384,41,74.866
julia,pelle,16384,42,79.926
julia,pelle,16384,43,81.184
julia,pelle,16384,44,82.94
julia,pelle,16384,45,87.165
julia,pelle,16384,46,90.528
julia,pelle,16384,47,86.198
julia,pelle,16384,48,92.448
julia,pelle,16384,4,9.192
julia,pelle,16384,49,86.73
julia,pelle,16384,50,90.65
julia,pelle,16384,5,12.44
julia,pelle,16384,51,94.911
julia,pelle,16384,52,98.904
julia,pelle,16384,53,100.329
julia,pelle,16384,54,94.122
julia,pelle,16384,55,97.735
julia,pelle,16384,56,99.736
julia,pelle,16384,57,100.605
julia,pelle,16384,58,107.938
julia,pelle,16384,59,104.076
julia,pelle,16384,60,109.98
julia,pelle,16384,61,112.484
julia,pelle,16384,6,12.42
julia,pelle,16384,62,114.886
julia,pelle,16384,63,119.259
julia,pelle,16384,64,122.496
julia,pelle,16384,7,14.133
julia,pelle,16384,8,16.408
julia,pelle,16384,9,18.936

julia,rackham,16384,1,4.659
julia,rackham,16384,2,11.474
julia,rackham,16384,3,13.995
julia,rackham,16384,4,15.068
julia,rackham,16384,5,18.34
julia,rackham,16384,6,20.694
julia,rackham,16384,7,23.177
julia,rackham,16384,8,23.072
julia,rackham,16384,9,26.235
julia,rackham,16384,10,27.73
julia,rackham,16384,11,28.182
julia,rackham,16384,12,31.032
julia,rackham,16384,13,32.253
julia,rackham,16384,14,34.076
julia,rackham,16384,15,34.77
julia,rackham,16384,16,41.008
julia,rackham,16384,17,42.857
julia,rackham,16384,18,45.09
julia,rackham,16384,19,43.13
julia,rackham,16384,20,49.98
julia,rackham,16384,1,4.585
julia,rackham,16384,2,11.34
julia,rackham,16384,3,12.843
julia,rackham,16384,4,16.716
julia,rackham,16384,5,16.855
julia,rackham,16384,6,19.434
julia,rackham,16384,7,21.455
julia,rackham,16384,8,21.208
julia,rackham,16384,9,26.1
julia,rackham,16384,10,26.1
julia,rackham,16384,11,28.589
julia,rackham,16384,12,31.776
julia,rackham,16384,13,32.63
julia,rackham,16384,14,36.61
julia,rackham,16384,15,40.11
julia,rackham,16384,16,41.456
julia,rackham,16384,17,42.789
julia,rackham,16384,18,49.374
